AL, 19, 2011111000, 03, ECMF,   0, 290N,  708W,  34,  990, XX
AL, 19, 2011111000, 03, ECMF,   6, 296N,  710W,  47,  990, XX
AL, 19, 2011111000, 03, ECMF,  12, 300N,  707W,  45,  990, XX
AL, 19, 2011111000, 03, ECMF,  18, 305N,  700W,  49,  990, XX
AL, 19, 2011111000, 03, ECMF,  24, 313N,  688W,  46,  992, XX
AL, 19, 2011111000, 03, ECMF,  30, 323N,  675W,  46,  993, XX
AL, 19, 2011111000, 03, ECMF,  36, 337N,  656W,  53,  996, XX
AL, 19, 2011111000, 03, ECMF,  42, 362N,  635W,  57,  996, XX
AL, 19, 2011111000, 03, ECMF,  48, 401N,  602W,  61,  996, XX
AL, 19, 2011111000, 03, ECMF,  54, 406N,  559W,  61, 1000, XX
AL, 19, 2011111000, 03, ECMF,  60, 437N,  509W,  55, 1004, XX
AL, 19, 2011111000, 03, EE00,   0, 290N,  708W,  34,  991, XX
AL, 19, 2011111000, 03, EE00,  12, 299N,  706W,  46,  990, XX
AL, 19, 2011111000, 03, EE00,  24, 313N,  688W,  48,  992, XX
AL, 19, 2011111000, 03, EE00,  36, 340N,  656W,  52,  995, XX
AL, 19, 2011111000, 03, EE01,   0, 290N,  708W,  32,  991, XX
AL, 19, 2011111000, 03, EE01,  12, 298N,  708W,  41,  993, XX
AL, 19, 2011111000, 03, EE01,  24, 310N,  690W,  43,  993, XX
AL, 19, 2011111000, 03, EE01,  36, 336N,  663W,  49,  996, XX
AL, 19, 2011111000, 03, EE02,   0, 291N,  708W,  37,  990, XX
AL, 19, 2011111000, 03, EE02,  12, 300N,  709W,  46,  990, XX
AL, 19, 2011111000, 03, EE02,  24, 311N,  691W,  53,  992, XX
AL, 19, 2011111000, 03, EE02,  36, 338N,  658W,  51,  996, XX
AL, 19, 2011111000, 03, EE03,   0, 291N,  708W,  37,  990, XX
AL, 19, 2011111000, 03, EE03,  12, 299N,  707W,  46,  989, XX
AL, 19, 2011111000, 03, EE03,  24, 309N,  689W,  50,  991, XX
AL, 19, 2011111000, 03, EE03,  36, 333N,  660W,  56,  996, XX
AL, 19, 2011111000, 03, EE04,   0, 290N,  708W,  35,  991, XX
AL, 19, 2011111000, 03, EE04,  12, 300N,  702W,  48,  990, XX
AL, 19, 2011111000, 03, EE04,  24, 320N,  689W,  48,  992, XX
AL, 19, 2011111000, 03, EE04,  36, 361N,  659W,  54,  992, XX
AL, 19, 2011111000, 03, EE05,   0, 290N,  708W,  35,  990, XX
AL, 19, 2011111000, 03, EE05,  12, 297N,  706W,  45,  989, XX
AL, 19, 2011111000, 03, EE05,  24, 308N,  682W,  52,  990, XX
AL, 19, 2011111000, 03, EE05,  36, 331N,  650W,  53,  994, XX
AL, 19, 2011111000, 03, EE05,  48, 378N,  597W,  62,  994, XX
AL, 19, 2011111000, 03, EE05,  60, 460N,  519W,  60,  990, XX
AL, 19, 2011111000, 03, EE06,   0, 290N,  709W,  34,  991, XX
AL, 19, 2011111000, 03, EE06,  12, 299N,  706W,  45,  992, XX
AL, 19, 2011111000, 03, EE06,  24, 313N,  690W,  45,  993, XX
AL, 19, 2011111000, 03, EE06,  36, 337N,  659W,  48,  997, XX
AL, 19, 2011111000, 03, EE07,   0, 290N,  708W,  34,  990, XX
AL, 19, 2011111000, 03, EE07,  12, 301N,  706W,  48,  989, XX
AL, 19, 2011111000, 03, EE07,  24, 312N,  691W,  45,  990, XX
AL, 19, 2011111000, 03, EE07,  36, 336N,  655W,  51,  994, XX
AL, 19, 2011111000, 03, EE08,   0, 290N,  708W,  35,  991, XX
AL, 19, 2011111000, 03, EE08,  12, 300N,  707W,  47,  992, XX
AL, 19, 2011111000, 03, EE08,  24, 315N,  694W,  45,  994, XX
AL, 19, 2011111000, 03, EE08,  36, 342N,  663W,  50,  996, XX
AL, 19, 2011111000, 03, EE09,   0, 291N,  709W,  37,  990, XX
AL, 19, 2011111000, 03, EE09,  12, 299N,  706W,  52,  989, XX
AL, 19, 2011111000, 03, EE09,  24, 313N,  688W,  55,  991, XX
AL, 19, 2011111000, 03, EE09,  36, 338N,  656W,  54,  994, XX
AL, 19, 2011111000, 03, EE09,  48, 389N,  604W,  60,  995, XX
AL, 19, 2011111000, 03, EE10,   0, 290N,  708W,  33,  992, XX
AL, 19, 2011111000, 03, EE10,  12, 300N,  704W,  46,  991, XX
AL, 19, 2011111000, 03, EE10,  24, 313N,  685W,  46,  993, XX
AL, 19, 2011111000, 03, EE10,  36, 347N,  655W,  50,  995, XX
AL, 19, 2011111000, 03, EE11,   0, 290N,  708W,  34,  990, XX
AL, 19, 2011111000, 03, EE11,  12, 299N,  704W,  45,  991, XX
AL, 19, 2011111000, 03, EE11,  24, 312N,  687W,  43,  994, XX
AL, 19, 2011111000, 03, EE11,  36, 338N,  651W,  51,  995, XX
AL, 19, 2011111000, 03, EE11,  48, 385N,  595W,  57,  993, XX
AL, 19, 2011111000, 03, EE11,  60, 472N,  521W,  61,  989, XX
AL, 19, 2011111000, 03, EE12,   0, 290N,  708W,  38,  991, XX
AL, 19, 2011111000, 03, EE12,  12, 299N,  707W,  45,  991, XX
AL, 19, 2011111000, 03, EE12,  24, 306N,  690W,  45,  993, XX
AL, 19, 2011111000, 03, EE12,  36, 324N,  661W,  47,  998, XX
AL, 19, 2011111000, 03, EE12,  48, 370N,  613W,  57, 1003, XX
AL, 19, 2011111000, 03, EE13,   0, 290N,  708W,  33,  990, XX
AL, 19, 2011111000, 03, EE13,  12, 299N,  706W,  46,  989, XX
AL, 19, 2011111000, 03, EE13,  24, 313N,  686W,  54,  991, XX
AL, 19, 2011111000, 03, EE13,  36, 342N,  652W,  52,  994, XX
AL, 19, 2011111000, 03, EE13,  48, 400N,  603W,  72,  989, XX
AL, 19, 2011111000, 03, EE14,   0, 290N,  708W,  36,  991, XX
AL, 19, 2011111000, 03, EE14,  12, 300N,  706W,  43,  992, XX
AL, 19, 2011111000, 03, EE14,  24, 315N,  688W,  49,  992, XX
AL, 19, 2011111000, 03, EE14,  36, 346N,  658W,  54,  994, XX
AL, 19, 2011111000, 03, EE15,   0, 290N,  708W,  35,  990, XX
AL, 19, 2011111000, 03, EE15,  12, 300N,  706W,  47,  990, XX
AL, 19, 2011111000, 03, EE15,  24, 313N,  687W,  49,  992, XX
AL, 19, 2011111000, 03, EE15,  36, 340N,  654W,  51,  994, XX
AL, 19, 2011111000, 03, EE15,  48, 385N,  596W,  55,  995, XX
AL, 19, 2011111000, 03, EE16,   0, 290N,  708W,  34,  991, XX
AL, 19, 2011111000, 03, EE16,  12, 297N,  706W,  45,  992, XX
AL, 19, 2011111000, 03, EE16,  24, 312N,  688W,  45,  994, XX
AL, 19, 2011111000, 03, EE16,  36, 341N,  659W,  48,  997, XX
AL, 19, 2011111000, 03, EE17,   0, 291N,  708W,  38,  990, XX
AL, 19, 2011111000, 03, EE17,  12, 300N,  706W,  48,  990, XX
AL, 19, 2011111000, 03, EE17,  24, 315N,  692W,  52,  992, XX
AL, 19, 2011111000, 03, EE17,  36, 342N,  660W,  50,  994, XX
AL, 19, 2011111000, 03, EE18,   0, 290N,  708W,  36,  991, XX
AL, 19, 2011111000, 03, EE18,  12, 298N,  706W,  48,  990, XX
AL, 19, 2011111000, 03, EE18,  24, 303N,  686W,  46,  993, XX
AL, 19, 2011111000, 03, EE18,  36, 322N,  657W,  43,  997, XX
AL, 19, 2011111000, 03, EE19,   0, 290N,  708W,  36,  992, XX
AL, 19, 2011111000, 03, EE19,  12, 297N,  709W,  42,  991, XX
AL, 19, 2011111000, 03, EE19,  24, 308N,  692W,  44,  992, XX
AL, 19, 2011111000, 03, EE19,  36, 329N,  663W,  51,  997, XX
AL, 19, 2011111000, 03, EE20,   0, 290N,  708W,  35,  990, XX
AL, 19, 2011111000, 03, EE20,  12, 301N,  704W,  48,  990, XX
AL, 19, 2011111000, 03, EE20,  24, 317N,  687W,  47,  992, XX
AL, 19, 2011111000, 03, EE20,  36, 348N,  655W,  51,  995, XX
AL, 19, 2011111000, 03, EE21,   0, 290N,  708W,  32,  991, XX
AL, 19, 2011111000, 03, EE21,  12, 300N,  706W,  44,  991, XX
AL, 19, 2011111000, 03, EE21,  24, 313N,  686W,  44,  992, XX
AL, 19, 2011111000, 03, EE21,  36, 340N,  654W,  49,  995, XX
AL, 19, 2011111000, 03, EE22,   0, 291N,  708W,  37,  990, XX
AL, 19, 2011111000, 03, EE22,  12, 298N,  708W,  47,  989, XX
AL, 19, 2011111000, 03, EE22,  24, 305N,  690W,  46,  992, XX
AL, 19, 2011111000, 03, EE22,  36, 329N,  661W,  53,  996, XX
AL, 19, 2011111000, 03, EE22,  48, 370N,  608W,  58, 1001, XX
AL, 19, 2011111000, 03, EE23,   0, 291N,  708W,  37,  990, XX
AL, 19, 2011111000, 03, EE23,  12, 299N,  707W,  41,  991, XX
AL, 19, 2011111000, 03, EE23,  24, 310N,  688W,  49,  992, XX
AL, 19, 2011111000, 03, EE23,  36, 332N,  658W,  47,  996, XX
AL, 19, 2011111000, 03, EE24,   0, 290N,  708W,  35,  991, XX
AL, 19, 2011111000, 03, EE24,  12, 299N,  705W,  48,  991, XX
AL, 19, 2011111000, 03, EE24,  24, 316N,  691W,  48,  993, XX
AL, 19, 2011111000, 03, EE24,  36, 357N,  662W,  50,  995, XX
AL, 19, 2011111000, 03, EE25,   0, 290N,  708W,  35,  990, XX
AL, 19, 2011111000, 03, EE25,  12, 298N,  708W,  43,  989, XX
AL, 19, 2011111000, 03, EE25,  24, 307N,  685W,  50,  990, XX
AL, 19, 2011111000, 03, EE25,  36, 327N,  655W,  47,  994, XX
AL, 19, 2011111000, 03, EE25,  48, 360N,  603W,  52, 1000, XX
AL, 19, 2011111000, 03, EE25,  60, 390N,  533W,  49, 1006, XX
AL, 19, 2011111000, 03, EE25,  72, 417N,  465W,  47, 1008, XX
AL, 19, 2011111000, 03, EE26,   0, 290N,  708W,  34,  991, XX
AL, 19, 2011111000, 03, EE26,  12, 300N,  705W,  46,  991, XX
AL, 19, 2011111000, 03, EE26,  24, 316N,  690W,  46,  992, XX
AL, 19, 2011111000, 03, EE26,  36, 346N,  655W,  55,  995, XX
AL, 19, 2011111000, 03, EE27,   0, 290N,  708W,  35,  990, XX
AL, 19, 2011111000, 03, EE27,  12, 300N,  706W,  46,  990, XX
AL, 19, 2011111000, 03, EE27,  24, 315N,  690W,  47,  992, XX
AL, 19, 2011111000, 03, EE27,  36, 345N,  657W,  52,  995, XX
AL, 19, 2011111000, 03, EE28,   0, 290N,  708W,  34,  991, XX
AL, 19, 2011111000, 03, EE28,  12, 298N,  706W,  44,  991, XX
AL, 19, 2011111000, 03, EE28,  24, 310N,  687W,  47,  994, XX
AL, 19, 2011111000, 03, EE28,  36, 333N,  655W,  53,  997, XX
AL, 19, 2011111000, 03, EE29,   0, 291N,  709W,  37,  990, XX
AL, 19, 2011111000, 03, EE29,  12, 297N,  706W,  50,  990, XX
AL, 19, 2011111000, 03, EE29,  24, 309N,  690W,  51,  992, XX
AL, 19, 2011111000, 03, EE29,  36, 329N,  661W,  49,  996, XX
AL, 19, 2011111000, 03, EE29,  48, 364N,  618W,  53,  999, XX
AL, 19, 2011111000, 03, EE29,  60, 400N,  539W,  51, 1003, XX
AL, 19, 2011111000, 03, EE30,   0, 290N,  707W,  33,  992, XX
AL, 19, 2011111000, 03, EE30,  12, 299N,  705W,  42,  993, XX
AL, 19, 2011111000, 03, EE30,  24, 309N,  686W,  45,  994, XX
AL, 19, 2011111000, 03, EE30,  36, 340N,  653W,  48,  996, XX
AL, 19, 2011111000, 03, EE31,   0, 290N,  708W,  34,  990, XX
AL, 19, 2011111000, 03, EE31,  12, 300N,  705W,  48,  990, XX
AL, 19, 2011111000, 03, EE31,  24, 314N,  690W,  45,  993, XX
AL, 19, 2011111000, 03, EE31,  36, 331N,  655W,  49,  996, XX
AL, 19, 2011111000, 03, EE31,  48, 369N,  607W,  56, 1000, XX
AL, 19, 2011111000, 03, EE32,   0, 290N,  708W,  38,  991, XX
AL, 19, 2011111000, 03, EE32,  12, 301N,  708W,  46,  991, XX
AL, 19, 2011111000, 03, EE32,  24, 315N,  693W,  48,  992, XX
AL, 19, 2011111000, 03, EE32,  36, 344N,  659W,  55,  995, XX
AL, 19, 2011111000, 03, EE33,   0, 290N,  708W,  33,  990, XX
AL, 19, 2011111000, 03, EE33,  12, 299N,  707W,  46,  991, XX
AL, 19, 2011111000, 03, EE33,  24, 315N,  691W,  48,  992, XX
AL, 19, 2011111000, 03, EE33,  36, 351N,  658W,  57,  992, XX
AL, 19, 2011111000, 03, EE33,  48, 431N,  607W,  70,  984, XX
AL, 19, 2011111000, 03, EE34,   0, 290N,  708W,  36,  991, XX
AL, 19, 2011111000, 03, EE34,  12, 300N,  705W,  45,  992, XX
AL, 19, 2011111000, 03, EE34,  24, 311N,  687W,  44,  993, XX
AL, 19, 2011111000, 03, EE34,  36, 331N,  659W,  48,  998, XX
AL, 19, 2011111000, 03, EE35,   0, 290N,  708W,  35,  990, XX
AL, 19, 2011111000, 03, EE35,  12, 300N,  705W,  47,  989, XX
AL, 19, 2011111000, 03, EE35,  24, 315N,  687W,  47,  990, XX
AL, 19, 2011111000, 03, EE35,  36, 342N,  652W,  50,  993, XX
AL, 19, 2011111000, 03, EE36,   0, 290N,  708W,  34,  991, XX
AL, 19, 2011111000, 03, EE36,  12, 297N,  706W,  45,  992, XX
AL, 19, 2011111000, 03, EE36,  24, 315N,  686W,  50,  992, XX
AL, 19, 2011111000, 03, EE36,  36, 346N,  658W,  49,  995, XX
