Converting /ct12/abrammer/graphics/ecmf_tc_data/data/A_JSXX01ECEP141200_C_ECMP_20170714120000_tropical_cyclone_track_FERNANDA_-118p3degW_11degN_bufr4.bin
         2294559 function calls (2265619 primitive calls) in 5.160 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1051    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:102(release)
      538    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
      538    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:146(__enter__)
      538    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:153(__exit__)
     1051    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
      536    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
      513    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:178(_lock_unlock_module)
    562/6    0.001    0.000    0.729    0.122 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
     4430    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:218(_requires_builtin_wrapper)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:293(__init__)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:297(__enter__)
      391    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(__exit__)
     1562    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(<genexpr>)
      339    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      514    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:355(__init__)
      725    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:389(cached)
     1324    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:402(parent)
      391    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:410(has_location)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:419(spec_from_loader)
      391    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
  391/388    0.001    0.000    0.091    0.000 <frozen importlib._bootstrap>:553(module_from_spec)
      536    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:57(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:612(_load_backward_compatible)
    394/6    0.003    0.000    0.733    0.122 <frozen importlib._bootstrap>:641(_load_unlocked)
      494    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(create_module)
